Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,Points PF,Points.1 PA,Points.2 PD,Coaches,Top Players AV,Top Players.1 Passer,Top Players.2 Rusher,Top Players.3 Receiver,Off Rank Pts,Off Rank.1 Yds,Def Rank Pts,Def Rank.1 Yds,Overall Rank T/G,Overall Rank.1 Pts±,Overall Rank.2 Yds±,Overall Rank.3 out of,Simple Rating System MoV,Simple Rating System.1 SoS,Simple Rating System.2 SRS,Simple Rating System.3 OSRS,Simple Rating System.4 DSRS,Team
1963,NFL,Los Angeles Rams,5,9,0,6th of 7,,210,350,-140,Svare,Pardee,Gabriel,Bass,Phillips,13,13,9,8,12,13,13,14,-10.0,1.0,-9.0,-6.0,-3.0,Rams
1962,NFL,Los Angeles Rams,1,12,1,7th of 7,,220,334,-114,WaterfieldSvare,Olsen,Bratkowski,Bass,Phillips,14,14,8,10,7,13,14,14,-8.1,4.1,-4.0,-4.6,0.6,Rams
1961,NFL,Los Angeles Rams,4,10,0,6th of 7,,263,333,-70,Waterfield,Phillips,Bratkowski,Arnett,Phillips,12,10,11,11,3,11,11,14,-5.0,3.5,-1.5,-1.2,-0.3,Rams
1960,NFL,Los Angeles Rams,4,7,1,6th of 7,,265,297,-32,Waterfield,Phillips,Wade,Arnett,Phillips,7,10,10,11,5,9,11,13,-2.7,-0.5,-3.2,1.2,-4.4,Rams
1959,NFL,Los Angeles Rams,2,10,0,6th of 6,,242,315,-73,Gillman,,Wade,Matson,Shofner,9,2,10,7,11,10,3,12,-6.1,3.0,-3.0,0.7,-3.8,Rams
1958,NFL,Los Angeles Rams,8,4,0,2nd of 6,,344,278,66,Gillman,,Wade,Arnett,Shofner,2,2,8,6,8,4,3,12,5.5,0.5,6.0,5.7,0.3,Rams
1957,NFL,Los Angeles Rams,6,6,0,4th of 6,,307,278,29,Gillman,,Van Brocklin,Wilson,Boyd,1,1,10,9,10,4,5,12,2.4,0.3,2.7,6.1,-3.4,Rams
1956,NFL,Los Angeles Rams,4,8,0,5th of 6,,291,307,-16,Gillman,,Wade,Waller,Clarke,3,2,10,9,12,6,4,12,-1.3,0.7,-0.7,3.1,-3.7,Rams
1955,NFL,Los Angeles Rams*,8,3,1,1st of 6,Lost Champ,260,231,29,Gillman,,Van Brocklin,Waller,Fears,4,2,4,8,1,4,6,12,2.4,-3.8,-1.3,-1.2,-0.2,Rams
1954,NFL,Los Angeles Rams,6,5,1,4th of 6,,314,285,29,Pool,,Van Brocklin,Younger,Boyd,3,1,10,8,11,6,3,12,2.4,2.3,4.8,6.3,-1.5,Rams
